"id","date","trial_time","value","x","y","word_one","word_two","trial_number","chunk_number","prolific_id","study_id","session_id"
"10009","2025-04-30T18:48:39.001Z","9177","79","298","165","Not Like Fire","Like Fire","55","73","6609619feb79146b62811775","6810e3157d4c55bd8e56b312","68126e7a08909b410abffbbd"
"10010","2025-04-30T18:48:39.083Z","7484","29","52","75","Not Like Fire","Like Fire","72","82","67ec29f16c1b0fa378f158a7","6810e3157d4c55bd8e56b312","68126de0af531315c9d20c2b"
"10011","2025-04-30T18:48:39.780Z","10190","15","43","13","Not Like Fire","Like Fire","25","38","67e9e9d3e19ff65eaf797d2d","6810e3157d4c55bd8e56b312","68126e5cee2a0a7fb1c9c9c4"
"10012","2025-04-30T18:48:40.022Z","3357","100","259","74","Not Like Fire","Like Fire","85","43","67f11ef199fadf3fa7bb5d78","6810e3157d4c55bd8e56b312","68126e6d13419694b42eac58"
"10013","2025-04-30T18:48:39.739Z","4025","1","75","28","Not Like Fire","Like Fire","51","1","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
"10014","2025-04-30T18:48:23.512Z","12301","30","136","80","Not Like Fire","Like Fire","3","89","5f5bd4eee8768816413c0cb5","6810e3157d4c55bd8e56b312","68126f7d2719a08060d6faa1"
"10015","2025-04-30T18:48:41.516Z","7987","31","83","193","Not Like Fire","Like Fire","12","20","675b6faf10ae4b79d1d6455e","6810e3157d4c55bd8e56b312","68126e59d2fbfd4948155105"
"10016","2025-04-30T18:48:42.916Z","2894","13","259","74","Not Like Fire","Like Fire","86","10","67f11ef199fadf3fa7bb5d78","6810e3157d4c55bd8e56b312","68126e6d13419694b42eac58"
"10017","2025-04-30T18:48:39.731Z","3056","51","135","18","Not Like Fire","Like Fire","1","66","67b65d55cd0f92a3aa53cd60","6810e3157d4c55bd8e56b312","68126f061e04aec1789736ae"
"10018","2025-04-30T18:48:43.081Z","5854","16","121","70","Not Like Fire","Like Fire","11","27","67dee94182771a1778a7f005","6810e3157d4c55bd8e56b312","68126ea6b775fedd7fc92923"
"10019","2025-04-30T18:48:44.383Z","5300","19","52","75","Not Like Fire","Like Fire","73","38","67ec29f16c1b0fa378f158a7","6810e3157d4c55bd8e56b312","68126de0af531315c9d20c2b"
"10020","2025-04-30T18:48:43.759Z","4028","7","135","18","Not Like Fire","Like Fire","2","32","67b65d55cd0f92a3aa53cd60","6810e3157d4c55bd8e56b312","68126f061e04aec1789736ae"
"10021","2025-04-30T18:48:45.667Z","2751","29","259","74","Not Like Fire","Like Fire","87","33","67f11ef199fadf3fa7bb5d78","6810e3157d4c55bd8e56b312","68126e6d13419694b42eac58"
"10022","2025-04-30T18:48:46.384Z","7383","4","298","165","Not Like Fire","Like Fire","56","19","6609619feb79146b62811775","6810e3157d4c55bd8e56b312","68126e7a08909b410abffbbd"
"10023","2025-04-30T18:48:46.204Z","4688","23","83","193","Not Like Fire","Like Fire","13","75","675b6faf10ae4b79d1d6455e","6810e3157d4c55bd8e56b312","68126e59d2fbfd4948155105"
"10024","2025-04-30T18:48:47.210Z","7471","100","75","28","Not Like Fire","Like Fire","52","24","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
"10025","2025-04-30T18:48:49.221Z","9441","5","43","13","Not Like Fire","Like Fire","26","21","67e9e9d3e19ff65eaf797d2d","6810e3157d4c55bd8e56b312","68126e5cee2a0a7fb1c9c9c4"
"10026","2025-04-30T18:48:49.626Z","5243","1","52","75","Not Like Fire","Like Fire","74","2","67ec29f16c1b0fa378f158a7","6810e3157d4c55bd8e56b312","68126de0af531315c9d20c2b"
"10027","2025-04-30T18:48:49.815Z","4148","39","259","74","Not Like Fire","Like Fire","88","77","67f11ef199fadf3fa7bb5d78","6810e3157d4c55bd8e56b312","68126e6d13419694b42eac58"
"10028","2025-04-30T18:48:50.141Z","27795","44","103","214","Not Like Fire","Like Fire","33","30","677da6635a4389f3f9a184ac","6810e3157d4c55bd8e56b312","68126e4913efcd3c19af1ac0"
"10029","2025-04-30T18:48:51.448Z","8367","64","121","70","Not Like Fire","Like Fire","12","44","67dee94182771a1778a7f005","6810e3157d4c55bd8e56b312","68126ea6b775fedd7fc92923"
"10030","2025-04-30T18:48:51.426Z","4216","48","75","28","Not Like Fire","Like Fire","53","48","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
